RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM
2134,2019_04_09 18:25:50,4.7072,0.3923,9.2575,32.01,32.71,6.641,600,780
2135,2019_04_09 18:25:51,2.589,-1.5298,7.963,32.01,32.71,6.738,600,780
2136,2019_04_09 18:25:52,2.8243,-1.726,8.5122,31.97,32.71,6.25,570,780
2137,2019_04_09 18:25:53,0.4707,0.3138,7.6884,32.01,32.71,6.006,570,780
2138,2019_04_09 18:25:54,0.4315,-2.9812,7.61,31.99,32.71,6.543,600,780
2139,2019_04_09 18:25:55,1.216,-1.4906,8.7868,31.99,32.75,6.592,600,810
2140,2019_04_09 18:25:56,0.7061,2.0006,7.2961,31.99,32.71,6.006,540,810
2141,2019_04_09 18:25:57,0.2746,-1.6475,7.3746,32.03,32.77,6.641,600,720
2142,2019_04_09 18:25:58,0.6276,-2.0398,7.7276,32.03,32.81,6.543,600,750
2143,2019_04_09 18:25:59,0.3923,-0.863,7.4923,32.03,32.75,6.396,540,750
2144,2019_04_09 18:26:00,1.1376,-2.7851,8.0022,31.99,32.69,6.055,600,780
2145,2019_04_09 18:26:01,-1.5298,-1.0983,7.8061,32.03,32.77,6.152,600,780
2146,2019_04_09 18:26:02,1.5298,0.3138,8.3945,32.03,32.69,6.006,600,780
2147,2019_04_09 18:26:03,-1.4906,-0.1177,7.8845,32.01,32.81,6.738,540,720
2148,2019_04_09 18:26:04,0.1177,-1.3337,8.0022,32.01,32.75,6.689,600,780
2149,2019_04_09 18:26:05,2.9812,-2.942,8.3553,32.01,32.75,5.762,540,780
2150,2019_04_09 18:26:06,0.9022,-2.0006,7.0608,32.01,32.71,5.762,600,780
2151,2019_04_09 18:26:07,0.1961,-1.4906,7.7276,32.01,32.75,6.592,600,780
2152,2019_04_09 18:26:08,0.0785,-0.5492,7.8061,32.01,32.81,6.055,540,780
2153,2019_04_09 18:26:09,3.4519,-0.353,8.7083,32.01,32.77,6.201,600,780
2154,2019_04_09 18:26:10,-1.3729,-4.8641,7.7669,32.01,32.77,6.396,540,780
2155,2019_04_09 18:26:11,0.3138,-0.1569,7.9238,31.99,32.71,6.494,600,780
2156,2019_04_09 18:26:12,0.5884,0.6276,7.7276,32.71,32.77,6.201,600,720
2157,2019_04_09 18:26:13,1.1768,-3.8442,8.0415,32.01,32.75,6.25,540,780
2158,2019_04_09 18:26:14,1.8437,-2.3928,8.3553,32.01,32.89,6.006,600,780
2159,2019_04_09 18:26:15,0.3923,-1.1376,7.8061,32.01,32.77,6.299,570,780
2160,2019_04_09 18:26:16,3.0989,-2.5497,7.3746,32.03,32.81,6.299,570,780
2161,2019_04_09 18:26:17,0.5099,-0.5099,7.2569,32.01,32.71,6.201,600,780
2162,2019_04_09 18:26:18,0.1569,-0.1961,8.1591,32.03,32.75,6.055,540,780
2163,2019_04_09 18:26:19,2.3928,-0.9022,8.5906,32.01,32.69,6.738,600,780
2164,2019_04_09 18:26:20,0.5884,-5.2171,8.0807,32.03,32.77,6.299,570,780
2165,2019_04_09 18:26:21,-1.4906,0.0785,7.2177,32.03,32.75,5.908,570,720
2166,2019_04_09 18:26:22,1.4122,-2.3536,7.9238,32.05,32.81,5.859,600,780
2167,2019_04_09 18:26:23,2.3144,-3.6088,7.8845,32.01,32.77,5.957,540,780
2168,2019_04_09 18:26:24,0.0785,-0.7061,8.0022,32.01,32.85,5.566,600,780
2169,2019_04_09 18:26:25,2.4713,0.3138,7.3746,32.01,32.83,6.348,540,780
2170,2019_04_09 18:26:26,1.5691,0.1569,8.3945,32.03,32.81,6.396,600,720
2171,2019_04_09 18:26:27,1.5298,-0.8238,8.5514,32.05,32.83,6.25,540,720
2172,2019_04_09 18:26:28,0.7061,-0.6276,7.8453,32.03,32.77,6.396,600,780
2173,2019_04_09 18:26:29,-0.353,-0.3138,7.5707,32.01,32.89,6.299,540,780
2174,2019_04_09 18:26:30,0.6669,-1.2553,8.1199,32.01,32.83,6.006,600,780
2175,2019_04_09 18:26:31,0.5492,-0.9414,8.1591,32.01,32.89,6.592,540,720
2176,2019_04_09 18:26:32,-6.4332,-2.0006,11.0227,32.03,32.83,6.299,600,780
2177,2019_04_09 18:26:33,0.2354,-1.9221,8.1984,32.05,32.89,5.811,540,780
2178,2019_04_09 18:26:34,1.1768,0.0392,8.9044,32.03,32.85,6.592,600,720
2179,2019_04_09 18:26:35,0.5884,-2.7459,8.7475,32.05,32.85,6.396,540,720
2180,2019_04_09 18:26:36,-0.0785,-1.9221,7.4923,32.05,32.83,6.201,600,780
2181,2019_04_09 18:26:37,-0.7061,-1.2945,8.0022,32.03,32.83,6.055,540,720
2182,2019_04_09 18:26:38,0.8238,-1.4122,7.6492,32.05,32.85,6.494,600,780
2183,2019_04_09 18:26:39,2.1182,-1.6083,8.5906,32.05,32.89,6.348,540,780
2184,2019_04_09 18:26:40,0.7453,-1.0199,8.4337,32.03,32.83,6.592,540,720
2185,2019_04_09 18:26:41,1.4514,-2.7851,8.0415,32.03,32.81,6.543,600,780
2186,2019_04_09 18:26:42,-0.4707,-1.216,7.2569,32.05,32.91,6.201,540,720
