RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM
4473,2019_04_10 17:28:16,-2.0398,-1.8437,7.4531,32.25,32.61,7.031,540,660
4474,2019_04_10 17:28:17,1.1768,-1.0983,7.61,32.25,32.63,6.934,480,660
4475,2019_04_10 17:28:18,1.0591,-0.7061,8.0022,32.27,32.71,7.031,480,660
4476,2019_04_10 17:28:19,1.0199,-2.3536,8.1984,32.25,32.63,7.373,480,660
4477,2019_04_10 17:28:20,3.5696,-0.7453,8.1591,32.27,32.63,6.689,480,660
4478,2019_04_10 17:28:21,-0.1569,-1.9221,7.7669,32.23,32.61,7.666,510,660
4479,2019_04_10 17:28:22,1.2945,-2.2359,8.1199,32.27,32.63,7.764,510,660
4480,2019_04_10 17:28:23,0.353,-1.0199,8.4337,32.27,32.63,7.715,480,660
4481,2019_04_10 17:28:24,-0.2354,-0.3923,7.8845,32.27,32.75,7.031,480,660
4482,2019_04_10 17:28:25,2.9028,-1.8437,8.7083,32.27,32.69,6.445,480,630
4483,2019_04_10 17:28:26,2.1182,1.5298,8.4337,32.31,32.71,8.203,480,630
4484,2019_04_10 17:28:27,1.0983,-1.726,7.3746,32.33,32.71,7.227,480,660
4485,2019_04_10 17:28:28,-0.0392,-3.2558,7.1785,32.25,32.69,6.934,540,660
4486,2019_04_10 17:28:29,0.8238,-0.4315,8.3553,32.27,32.69,8.154,480,660
4487,2019_04_10 17:28:30,1.2553,-1.5298,8.0807,32.27,32.67,7.031,480,660
4488,2019_04_10 17:28:31,-2.1575,0,7.8845,32.27,32.71,7.422,480,660
4489,2019_04_10 17:28:32,1.9613,-0.2746,8.316,32.25,32.75,7.764,480,660
4490,2019_04_10 17:28:33,0.2354,-0.7845,8.0807,32.31,32.75,6.445,480,660
4491,2019_04_10 17:28:34,-0.2354,-0.7061,7.963,32.25,32.71,7.52,480,660
4492,2019_04_10 17:28:35,0.9807,-0.5099,7.6884,32.27,32.71,7.617,480,660
4493,2019_04_10 17:28:36,1.0591,-1.6083,7.1,32.31,32.77,7.031,540,660
4494,2019_04_10 17:28:37,0.9807,1.2945,7.963,32.25,32.75,7.324,480,660
4495,2019_04_10 17:28:39,1.0591,-2.1575,7.6884,32.27,32.69,6.982,480,600
4496,2019_04_10 17:28:39,-1.6867,-2.4713,7.61,32.31,32.83,6.787,480,660
4497,2019_04_10 17:28:40,1.5298,-2.0398,7.963,32.25,32.67,6.787,480,660
4498,2019_04_10 17:28:41,2.589,-0.9022,8.2768,32.27,32.75,7.861,480,660
4499,2019_04_10 17:28:42,0.5099,-0.3138,8.0022,32.27,32.69,7.617,450,600
4500,2019_04_10 17:28:43,0.6669,-1.2945,8.0022,32.27,32.75,7.129,450,660
4501,2019_04_10 17:28:44,1.3729,0.1569,7.3746,32.27,32.69,6.445,480,660
4502,2019_04_10 17:28:45,2.1182,-1.2945,7.8453,32.27,32.81,6.592,480,600
4503,2019_04_10 17:28:46,0,-1.0199,8.2768,32.27,32.81,6.738,480,660
4504,2019_04_10 17:28:47,0,-1.2945,7.5315,32.31,32.77,7.471,480,660
4505,2019_04_10 17:28:48,0.9414,-1.6867,7.61,32.31,32.77,6.494,480,600
4506,2019_04_10 17:28:49,2.1182,-2.2359,7.8845,32.27,32.77,7.813,480,660
4507,2019_04_10 17:28:50,3.1774,-0.8238,8.1591,32.33,32.83,7.617,480,630
4508,2019_04_10 17:28:51,-0.5099,-1.8044,7.4531,32.31,32.89,7.471,480,630
4509,2019_04_10 17:28:52,0.7845,-2.6282,8.1199,32.27,32.81,7.422,480,660
4510,2019_04_10 17:28:53,1.3337,-0.2354,7.6492,32.33,32.91,7.324,420,600
4511,2019_04_10 17:28:54,0.1177,-1.3337,7.5315,32.31,32.81,7.031,480,660
4512,2019_04_10 17:28:55,2.7066,-1.7652,7.8845,32.33,32.83,6.982,480,600
4513,2019_04_10 17:28:56,1.4514,-1.0199,8.3945,32.27,32.89,7.813,480,660
4514,2019_04_10 17:28:57,1.0199,-0.6669,8.3553,32.27,32.91,8.301,480,600
4515,2019_04_10 17:28:58,1.1376,-0.3923,8.0022,32.31,32.89,7.715,480,660
4516,2019_04_10 17:28:59,0.5492,-0.1569,7.7276,32.31,32.81,7.471,480,660
4517,2019_04_10 17:29:00,3.3735,-1.6867,7.963,32.31,32.91,7.715,420,600
4518,2019_04_10 17:29:01,0.1569,-2.2359,7.8845,32.31,32.89,7.861,480,660
4519,2019_04_10 17:29:02,1.726,-1.6867,8.0807,32.31,32.83,7.52,480,600
4520,2019_04_10 17:29:03,1.4514,0.3923,8.1199,32.31,32.91,7.178,480,660
4521,2019_04_10 17:29:04,0.5099,-2.0006,7.7276,32.33,32.83,6.396,480,600
4522,2019_04_10 17:29:05,0.3138,-0.7061,8.1591,32.35,32.95,7.275,420,660
4523,2019_04_10 17:29:06,0.7453,-1.726,7.8845,32.33,32.85,7.275,480,600
4524,2019_04_10 17:29:07,0.7061,-0.7845,8.0807,32.33,32.85,7.715,480,630
4525,2019_04_10 17:29:08,1.9613,-1.726,8.5906,32.31,32.89,6.592,480,630
4526,2019_04_10 17:29:09,1.1768,-2.0006,7.8061,32.31,32.83,7.52,450,600
4527,2019_04_10 17:29:10,-0.3138,-0.1569,7.6492,32.33,32.83,6.689,450,660
4528,2019_04_10 17:29:11,-0.5492,-0.2746,7.8061,32.31,32.91,6.934,480,600
4529,2019_04_10 17:29:12,0.1961,-1.2945,7.8845,32.33,32.91,7.227,480,660
4530,2019_04_10 17:29:13,0.5099,-1.9613,7.8845,32.35,32.91,6.641,480,600
4531,2019_04_10 17:29:14,2.2359,-1.8437,8.1984,32.35,32.81,6.934,420,660
4532,2019_04_10 17:29:15,1.9221,-2.1182,7.8061,32.33,32.95,6.641,480,600
4533,2019_04_10 17:29:16,0.1569,-1.5691,7.61,32.27,32.75,7.08,480,600
4534,2019_04_10 17:29:17,4.6287,-1.0983,8.3945,32.27,32.85,7.91,480,660
4535,2019_04_10 17:29:18,0.1177,-2.079,8.1199,32.27,32.95,7.324,420,600
4536,2019_04_10 17:29:19,1.4122,-0.353,7.8061,32.35,32.89,6.689,480,660
4537,2019_04_10 17:29:20,0.2746,-3.1381,8.0415,32.33,32.91,7.275,480,600
4538,2019_04_10 17:29:21,1.4906,-1.1768,7.7276,32.33,32.89,7.08,480,660
4539,2019_04_10 17:29:22,1.3729,-2.1575,8.2376,32.33,32.91,6.885,420,600
4540,2019_04_10 17:29:23,0.7845,-1.4906,7.8453,32.33,32.91,7.617,480,600
4541,2019_04_10 17:29:24,1.7652,-2.0006,7.3354,32.31,32.95,7.227,480,660
4542,2019_04_10 17:29:25,1.3337,-1.4514,8.1199,32.33,32.95,6.689,480,600
4543,2019_04_10 17:29:26,1.0199,-1.6475,8.3945,32.33,32.95,6.396,420,660
4544,2019_04_10 17:29:27,2.589,-0.8238,8.3945,32.33,32.95,6.787,480,600
4545,2019_04_10 17:29:28,-0.2746,0.4315,7.3354,32.31,32.89,7.422,480,660
4546,2019_04_10 17:29:29,2.3536,-0.5099,7.6492,32.33,32.99,6.934,480,600
4547,2019_04_10 17:29:30,1.6475,-1.8044,8.2376,32.33,32.95,7.813,420,600
4548,2019_04_10 17:29:31,-1.4906,-1.4906,8.1984,32.33,32.95,7.568,480,660
4549,2019_04_10 17:29:32,1.3337,-1.2553,8.0807,32.33,32.97,6.885,480,600
4550,2019_04_10 17:29:33,0.2746,-1.9221,8.0807,32.33,32.95,7.031,450,630
4551,2019_04_10 17:29:34,2.079,-1.2553,8.1591,32.27,32.97,7.813,450,630
4552,2019_04_10 17:29:35,1.1376,-0.7061,8.0415,32.31,32.95,7.373,480,600
4553,2019_04_10 17:29:36,-0.353,-1.3729,7.7669,32.27,32.91,6.934,480,660
4554,2019_04_10 17:29:37,-0.0392,-1.8437,7.8061,32.31,33.03,6.738,420,600
4555,2019_04_10 17:29:38,1.216,-1.5298,7.9238,32.33,32.95,7.275,480,600
