RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM
5134,2019_04_12 18:07:44,1.9221,1.8437,8.0807,32.41,32.97,5.176,660,960
5135,2019_04_12 18:07:45,-0.6669,-3.6481,7.4138,32.37,32.99,5.371,660,900
5136,2019_04_12 18:07:46,-0.0392,-5.8055,7.4138,32.39,32.99,5.273,720,900
5137,2019_04_12 18:07:47,0.6669,-0.1177,8.0807,32.39,33.07,5.371,660,960
5138,2019_04_12 18:07:48,1.216,2.3144,8.316,32.41,32.99,5.566,660,900
5139,2019_04_12 18:07:49,0.3138,-1.7652,7.8061,32.37,33.05,5.615,720,900
5140,2019_04_12 18:07:50,-0.353,1.1376,7.8453,32.37,33.07,5.42,660,900
5141,2019_04_12 18:07:51,0.4707,-0.1961,7.8061,32.39,33.11,5.371,660,960
5142,2019_04_12 18:07:52,-0.1961,-0.0392,7.0608,32.37,33.03,4.98,720,900
5143,2019_04_12 18:07:53,1.0591,1.6867,8.9829,32.37,32.99,5.469,660,900
5144,2019_04_12 18:07:54,-0.1177,0.4315,7.7669,32.37,33.07,5.811,660,900
5145,2019_04_12 18:07:55,2.8243,-2.7851,7.4923,32.41,33.11,5.469,660,960
5146,2019_04_12 18:07:56,0.5099,-2.3144,7.2177,32.35,32.99,5.762,720,900
5147,2019_04_12 18:07:57,1.8829,-1.216,8.0415,32.39,33.13,5.078,660,900
5148,2019_04_12 18:07:58,3.1774,0.8238,8.0022,32.41,33.13,5.42,660,900
5149,2019_04_12 18:07:59,3.1381,-2.079,7.7276,32.39,33.11,4.98,720,960
5150,2019_04_12 18:08:00,-0.0392,0.353,7.7669,32.41,33.03,5.762,660,900
5151,2019_04_12 18:08:01,0.7061,0.2354,7.8453,32.39,33.11,5.127,660,900
5152,2019_04_12 18:08:02,0.7845,-0.0392,7.7276,32.37,33.07,5.469,690,900
5153,2019_04_12 18:08:03,2.589,-1.0983,7.9238,32.41,33.07,5.566,690,960
5154,2019_04_12 18:08:04,0.353,-0.863,7.5707,32.41,33.05,5.029,660,900
5155,2019_04_12 18:08:05,2.7066,-1.726,8.1199,32.39,33.13,5.664,660,960
5156,2019_04_12 18:08:06,0.3923,-1.2945,8.5514,32.37,33.11,5.273,720,960
5157,2019_04_12 18:08:07,0.9807,-0.353,8.3553,32.37,33.07,5.273,660,1020
5158,2019_04_12 18:08:08,0.7453,-2.2751,7.5315,32.39,33.13,5.322,660,900
5159,2019_04_12 18:08:09,1.3337,1.3729,8.1984,32.39,33.11,5.225,690,900
5160,2019_04_12 18:08:10,-0.863,-1.0199,7.3746,32.37,33.03,5.078,690,900
5161,2019_04_12 18:08:11,0.6669,2.7459,8.0807,32.39,33.13,5.42,660,960
5162,2019_04_12 18:08:12,1.9613,-1.5298,7.7669,32.41,33.07,5.762,660,900
5163,2019_04_12 18:08:13,2.3536,-2.079,7.8453,32.41,33.11,5.42,690,900
5164,2019_04_12 18:08:14,1.9221,-1.0591,7.7276,32.43,33.07,5.127,690,900
5165,2019_04_12 18:08:15,1.3729,-1.726,7.61,32.39,33.11,5.42,660,900
5166,2019_04_12 18:08:16,1.216,-0.3138,8.1984,32.39,33.07,5.176,660,960
5167,2019_04_12 18:08:17,-0.2746,-2.1575,7.7669,32.41,33.07,5.322,720,900
5168,2019_04_12 18:08:18,0.4707,1.4122,8.5122,32.39,33.17,5.078,660,900
5169,2019_04_12 18:08:19,0.1961,-0.353,8.1199,32.39,33.19,5.518,660,900
5170,2019_04_12 18:08:20,-0.7845,1.6475,7.7276,32.39,33.07,5.908,660,900
5171,2019_04_12 18:08:21,-0.6669,-0.3923,8.3945,32.39,33.13,5.371,720,930
5172,2019_04_12 18:08:22,0.9414,-1.5691,8.0415,32.39,33.05,5.371,660,930
5173,2019_04_12 18:08:23,1.5298,-2.079,8.1199,32.43,33.07,5.078,660,900
5174,2019_04_12 18:08:24,0.7845,-4.2365,7.2961,32.39,33.13,5.029,660,900
5175,2019_04_12 18:08:25,0.9414,-2.6674,7.2961,32.41,33.13,5.029,690,900
5176,2019_04_12 18:08:26,-0.4707,1.1768,8.1591,32.41,33.11,5.127,690,900
5177,2019_04_12 18:08:27,1.3337,-2.1967,7.3746,32.41,33.19,5.273,660,900
5178,2019_04_12 18:08:28,1.3729,-1.8044,8.3945,32.41,33.21,5.859,660,960
5179,2019_04_12 18:08:29,1.4122,-2.6282,7.6884,32.43,33.19,5.42,660,900
5180,2019_04_12 18:08:30,0.8238,-1.4122,7.8061,32.39,33.13,5.225,690,900
5181,2019_04_12 18:08:31,2.1967,-2.3144,7.8845,32.39,33.13,5.908,690,900
5182,2019_04_12 18:08:32,2.9812,-0.1961,8.0807,32.43,33.21,4.932,660,900
5183,2019_04_12 18:08:33,1.6083,-2.589,8.2376,32.39,33.13,5.225,660,900
5184,2019_04_12 18:08:34,-0.6276,-2.7851,6.9823,32.43,33.17,5.518,660,900
5185,2019_04_12 18:08:35,0.9022,-3.7265,8.2768,32.45,33.13,5.176,720,960
5186,2019_04_12 18:08:36,2.0398,-2.942,8.1984,32.41,33.19,5.225,660,900
5187,2019_04_12 18:08:37,1.6475,-2.079,7.7669,32.43,33.17,5.762,660,900
5188,2019_04_12 18:08:38,1.3729,0.1569,8.2376,32.39,33.13,4.98,660,900
5189,2019_04_12 18:08:39,2.0006,-0.2354,8.0807,32.41,33.19,5.176,720,900
5190,2019_04_12 18:08:40,0.863,-2.5105,7.8061,32.41,33.13,5.322,660,930
5191,2019_04_12 18:08:41,3.1381,-2.3536,8.1199,32.41,33.13,5.322,660,930
5192,2019_04_12 18:08:42,1.216,-1.6867,8.2376,32.41,33.17,5.42,660,900
5193,2019_04_12 18:08:43,4.2757,-3.7265,7.5707,32.43,33.17,5.176,660,900
5194,2019_04_12 18:08:44,3.0989,-0.8238,7.8061,32.41,33.13,5.713,720,900
5195,2019_04_12 18:08:45,0.7845,-2.2751,8.0807,32.41,33.13,5.811,660,900
5196,2019_04_12 18:08:46,0.3923,-0.1177,7.7276,32.43,33.13,5.225,660,900
5197,2019_04_12 18:08:47,0.5884,-2.4713,8.2768,32.43,33.13,4.98,660,900
5198,2019_04_12 18:08:48,2.0398,-2.7066,7.4923,32.43,33.13,5.078,660,930
5199,2019_04_12 18:08:49,1.1768,-0.5492,7.4923,32.43,33.13,4.98,720,930
5200,2019_04_12 18:08:50,0,1.5298,8.4337,32.43,33.13,5.42,660,900
5201,2019_04_12 18:08:51,3.5304,-3.9227,7.6884,32.45,33.21,5.225,660,900
