RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM,,
82,2019_04_08 14:46:47,-1.2553,-0.9807,7.4923,31.95,32.69,8.057,780,780,,
83,2019_04_08 14:46:48,0.9414,-2.6282,7.1392,31.97,32.69,8.057,750,780,,
84,2019_04_08 14:46:49,-0.1961,-1.216,6.9039,31.93,32.69,7.373,750,780,,
85,2019_04_08 14:46:50,3.9227,-2.0398,8.7475,31.97,32.67,7.031,780,780,,
86,2019_04_08 14:46:51,-1.1768,-1.4906,7.0216,31.95,32.69,6.982,780,780,,
87,2019_04_08 14:46:52,1.3729,-1.726,7.963,31.91,32.61,7.617,750,780,,
88,2019_04_08 14:46:53,1.726,-0.7061,7.1392,31.93,32.63,7.666,750,780,,
89,2019_04_08 14:46:54,-0.1961,-1.1376,7.3746,31.93,32.63,7.471,780,780,,
90,2019_04_08 14:46:55,-1.0591,-1.1768,7.8061,31.95,32.67,7.275,780,780,,
91,2019_04_08 14:46:56,2.1967,-1.8044,7.6884,31.97,32.69,8.057,750,780,,
92,2019_04_08 14:46:57,1.6083,-2.3928,7.963,31.95,32.71,6.836,750,780,,
93,2019_04_08 14:46:58,1.2945,-1.8437,7.9238,31.93,32.69,7.617,780,750,,
94,2019_04_08 14:46:59,2.2751,-1.1768,8.5906,31.93,32.69,7.959,780,780,,
95,2019_04_08 14:47:00,-0.5884,-2.1967,7.7276,31.93,32.71,7.422,720,750,,
96,2019_04_08 14:47:01,2.9028,-1.4906,8.1984,31.93,32.75,7.52,780,780,,
97,2019_04_08 14:47:02,-1.1376,-3.0204,7.8061,31.93,32.67,6.934,780,780,,
98,2019_04_08 14:47:03,0.5492,-1.6475,8.0022,31.95,32.75,7.813,720,780,,
99,2019_04_08 14:47:04,3.6481,-0.5492,8.5122,31.95,32.71,7.471,780,780,,
100,2019_04_08 14:47:05,-0.6669,1.0199,7.4923,31.97,32.77,7.52,780,780,,
101,2019_04_08 14:47:06,1.3337,-2.0398,9.5713,31.95,32.77,7.666,720,780,,
102,2019_04_08 14:47:07,3.0989,-2.4713,7.9238,31.95,32.75,7.91,780,780,,
103,2019_04_08 14:47:08,0.863,-3.7265,7.2177,31.95,32.75,7.617,780,780,,
104,2019_04_08 14:47:09,-2.2359,-0.7453,7.3354,31.95,32.75,7.91,750,780,,
105,2019_04_08 14:47:10,0.5492,-2.3536,7.1785,31.93,32.71,7.813,750,780,,
106,2019_04_08 14:47:11,0.7061,0.3923,8.316,31.95,32.81,7.178,780,750,,
107,2019_04_08 14:47:12,1.5298,-0.6276,8.0807,31.99,32.83,7.666,720,750,,
108,2019_04_08 14:47:13,1.7652,-1.9613,8.5906,31.95,32.77,6.836,720,750,,
109,2019_04_08 14:47:14,2.3928,-1.3729,8.0807,31.95,32.75,6.885,780,750,,
110,2019_04_08 14:47:15,-2.0398,-1.5298,7.2177,31.97,32.83,8.057,720,780,,
111,2019_04_08 14:47:16,2.5105,-1.3337,8.5514,31.97,32.77,7.275,780,780,,
112,2019_04_08 14:47:17,1.9221,-2.432,8.3945,31.97,32.83,6.738,780,780,,
113,2019_04_08 14:47:18,2.5497,-3.4127,7.7669,31.97,32.83,6.787,720,780,,
114,2019_04_08 14:47:19,-0.5492,-2.3536,7.9238,31.97,32.97,7.324,780,750,,
115,2019_04_08 14:47:20,-0.1569,-2.2751,6.9823,31.97,32.83,7.617,720,750,,
116,2019_04_08 14:47:21,-0.8238,-1.3729,7.1785,31.97,32.83,7.324,780,780,,
117,2019_04_08 14:47:22,1.9221,-1.6083,8.2768,31.95,32.81,6.738,780,780,,
118,2019_04_08 14:47:23,1.4514,-1.0983,7.7276,31.97,32.89,7.666,720,780,,
119,2019_04_08 14:47:24,1.726,-2.2359,7.6884,31.93,32.85,7.471,780,780,,
120,2019_04_08 14:47:25,3.2166,-2.432,8.7868,31.93,32.83,6.934,720,720,,
121,2019_04_08 14:47:26,0.5099,-5.021,7.8453,31.97,32.95,7.764,780,780,,
122,2019_04_08 14:47:27,-1.8044,-1.7652,7.963,31.97,32.95,7.422,720,780,,
123,2019_04_08 14:47:28,0.5884,-2.7851,7.1,31.95,32.89,7.373,780,780,,
124,2019_04_08 14:47:29,0.353,-1.6475,7.6884,31.95,32.91,-0.146,360,360,,
126,2019_04_08 14:59:31,-0.9807,0.6276,7.3354,31.71,31.91,7.959,780,810,,
127,2019_04_08 14:59:32,2.0398,-0.6276,7.2569,31.71,31.95,7.715,780,810,,
128,2019_04_08 14:59:32,-1.6083,-0.9022,6.9823,31.71,31.95,8.594,840,840,,
129,2019_04_08 14:59:33,0.1177,0.3138,8.0807,31.71,31.99,7.764,780,780,,
130,2019_04_08 14:59:34,-1.3337,-2.3144,7.7669,31.69,31.95,7.91,780,780,,
131,2019_04_08 14:59:34,2.5497,-2.3536,8.0022,31.73,31.97,8.496,840,840,,
132,2019_04_08 14:59:35,0.2746,-1.4122,7.8845,31.71,31.95,7.959,780,810,,
133,2019_04_08 14:59:35,1.726,-0.8238,7.7276,31.71,31.95,7.715,780,810,,
134,2019_04_08 14:59:36,0.6669,-1.4122,7.8453,31.71,31.97,8.594,840,840,,
135,2019_04_08 14:59:36,0.0785,-0.6276,7.8061,31.69,31.97,7.764,780,780,,
136,2019_04_08 14:59:37,3.6481,-0.863,9.5713,31.69,32.11,8.398,780,840,,
137,2019_04_08 14:59:37,-0.5884,-0.9414,6.9039,31.71,32.03,7.813,780,780,,
138,2019_04_08 14:59:38,2.2751,-1.5691,8.2768,31.71,32.03,8.301,840,840,,
139,2019_04_08 14:59:38,-1.216,0.6276,7.1392,31.69,31.99,7.764,780,780,,
