RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM
6503,2019_04_12 23:14:39,-0.3138,-1.5691,7.1785,32.03,32.13,6.055,690,960
6504,2019_04_12 23:14:40,0.3138,-0.1961,7.2961,32.03,32.13,5.42,690,900
6505,2019_04_12 23:14:41,-0.0392,-2.3144,7.4923,32.03,32.19,5.176,720,960
6506,2019_04_12 23:14:42,1.1768,0.9414,8.3553,32.05,32.19,5.908,660,930
6507,2019_04_12 23:14:43,-0.3923,-3.5304,7.0216,32.03,32.19,5.811,720,930
6508,2019_04_12 23:14:44,1.6475,-2.1967,7.8061,32.05,32.19,5.469,660,960
6509,2019_04_12 23:14:45,1.4122,-2.9812,7.7669,32.01,32.21,5.615,720,900
6510,2019_04_12 23:14:46,0.7845,-1.0591,7.4531,32.05,32.21,5.615,720,960
6511,2019_04_12 23:14:47,1.5298,2.589,8.1591,32.03,32.21,5.029,660,900
6512,2019_04_12 23:14:48,0.2746,-3.5696,7.2177,32.01,32.25,5.371,720,960
6513,2019_04_12 23:14:49,1.1768,5.8448,8.4337,32.05,32.31,6.152,690,960
6514,2019_04_12 23:14:50,1.1768,-4.3542,7.2177,32.05,32.31,6.104,690,900
6515,2019_04_12 23:14:51,1.6867,-0.5492,8.7475,32.11,32.27,5.762,720,960
6516,2019_04_12 23:14:52,0.2746,0.5492,8.2768,32.03,32.17,5.469,660,900
6517,2019_04_12 23:14:53,1.0591,-3.5696,8.1984,32.05,32.21,5.322,720,960
6518,2019_04_12 23:14:54,-0.353,1.5298,7.4138,32.05,32.25,5.225,660,900
6519,2019_04_12 23:14:55,1.4906,1.8044,8.1591,32.03,32.19,5.615,720,960
6520,2019_04_12 23:14:56,0.9807,-3.0597,7.3354,32.03,32.21,5.957,720,960
6521,2019_04_12 23:14:57,2.432,2.942,8.2768,32.03,32.25,5.42,660,900
