RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM
7109,2019_04_13 00:37:02,0.5884,-0.1177,7.5315,32.93,33.25,6.055,540,780
7110,2019_04_13 00:37:03,1.7652,-0.7061,7.7669,32.89,33.29,6.689,540,720
7111,2019_04_13 00:37:04,2.4713,-1.1768,7.9238,32.93,33.27,6.396,540,780
7112,2019_04_13 00:37:05,0.7845,-1.9221,7.8845,32.91,33.33,5.713,600,720
7113,2019_04_13 00:37:06,-0.9022,0.1961,7.1392,32.89,33.33,5.957,540,720
7114,2019_04_13 00:37:07,-2.5497,1.1768,6.9431,32.93,33.33,6.592,540,780
7115,2019_04_13 00:37:08,3.0204,-1.4906,8.3553,32.93,33.35,6.055,540,720
7116,2019_04_13 00:37:09,2.8243,-1.3337,7.61,32.89,33.35,6.201,600,780
7117,2019_04_13 00:37:10,0.2354,-2.942,8.316,32.91,33.33,6.152,540,720
7118,2019_04_13 00:37:11,-0.0785,-0.9414,7.4531,32.89,33.39,6.348,540,720
7119,2019_04_13 00:37:12,1.6475,-3.1774,7.8453,32.91,33.29,6.738,540,780
7120,2019_04_13 00:37:13,2.9812,-1.9221,8.3945,32.91,33.29,6.25,540,720
7121,2019_04_13 00:37:14,0.5884,-0.7061,7.5315,32.91,33.33,6.396,600,720
7122,2019_04_13 00:37:15,-0.5884,-1.6475,7.2961,32.91,33.35,5.908,540,780
7123,2019_04_13 00:37:16,1.8437,-0.7061,7.9238,32.93,33.35,5.811,540,720
7124,2019_04_13 00:37:17,-0.6669,-1.1768,9.0221,32.93,33.43,6.006,540,720
7125,2019_04_13 00:37:18,0.1177,-2.7851,7.2569,32.91,33.33,6.299,540,780
7126,2019_04_13 00:37:19,3.6481,-2.1575,8.1591,32.91,33.33,6.25,600,720
7127,2019_04_13 00:37:20,4.4718,-1.4514,8.6299,32.93,33.43,5.957,540,780
7128,2019_04_13 00:37:21,2.2359,-4.5111,7.3354,32.93,33.47,5.908,540,720
7129,2019_04_13 00:37:22,3.1381,-0.1177,9.0613,32.95,33.39,5.762,540,720
7130,2019_04_13 00:37:23,0.0392,0.353,8.316,32.95,33.43,6.348,540,780
7131,2019_04_13 00:37:24,3.0597,0.0785,8.5906,32.91,33.41,5.713,570,720
7132,2019_04_13 00:37:25,2.9812,-1.5691,8.6299,32.95,33.39,5.908,570,720
